MATERIA,CLAVE,SECC,NRC,DIA,HORA,SALON,PROFESOR
Algebra Lineal con Aplicaciones,ITIS 005,OO1,26143,AJ,0900-1059,1CCO4/102,MALDONADO - GARCIA ABRAHAM
Algebra Lineal con Aplicaciones,ITIS 005,OO1,26143,L,1000-1059,1CCO4/102,MALDONADO - GARCIA ABRAHAM
Algebra Lineal con Aplicaciones,ITIS 005,OO2,26144,L,1300-1359,1CCO4/201,RAMIREZ - HERNANDEZ HECTOR
Algebra Lineal con Aplicaciones,ITIS 005,OO2,26144,MV,1300-1459,1CCO4/201,RAMIREZ - HERNANDEZ HECTOR
Program.Orientada a Objetos II,ITIS 010,OO1,26182,A,0900-1059,1CCO3/104,TORIZ - PALACIOS ALFREDO
Program.Orientada a Objetos II,ITIS 010,OO1,26182,J,0900-1059,1CCO4/201,TORIZ - PALACIOS ALFREDO
Program.Orientada a Objetos II,ITIS 010,OO1,26182,L,1000-1059,1CCO4/201,TORIZ - PALACIOS ALFREDO
Program.Orientada a Objetos II,ITIS 010,OO2,26183,L,1500-1559,1CCO4/202,GARCIA - RAMIREZ RUBEN SENEN
Program.Orientada a Objetos II,ITIS 010,OO2,26183,M,1500-1659,1CCO3/101,GARCIA - RAMIREZ RUBEN SENEN
Program.Orientada a Objetos II,ITIS 010,OO2,26183,V,1500-1659,1CCO4/202,GARCIA - RAMIREZ RUBEN SENEN
Probabilidad y Estadistica,ITIS 009,OO1,26190,AJ,1100-1259,1EMA4/409,GONZALEZ - FLORES MARCOS
Probabilidad y Estadistica,ITIS 009,OO1,26190,L,1200-1259,1EMA4/409,GONZALEZ - FLORES MARCOS
Probabilidad y Estadistica,ITIS 009,OO2,26203,L,1300-1359,1CCO4/202,SANDOVAL - SOLIS MARIA
Probabilidad y Estadistica,ITIS 009,OO2,26203,MV,1300-1459,1CCO4/202,SANDOVAL - SOLIS MARIA
Calculo Diferencial e Integral,ITIS 004,OO1,26220,L,0900-0959,1CCO4/102,JIMENEZ - DE LOS SANTOS
Calculo Diferencial e Integral,ITIS 004,OO1,26220,MV,0900-1059,1CCO4/102,JIMENEZ - DE LOS SANTOS
Calculo Diferencial e Integral,ITIS 004,OO3,26223,L,1100-1159,1EMA5/206,REYES - GARCES LUZ DEL CARMEN
Calculo Diferencial e Integral,ITIS 004,OO3,26223,MV,1100-1259,1EMA5/206,REYES - GARCES LUZ DEL CARMEN
Calculo Diferencial e Integral,ITIS 004,OO2,26226,AJ,1100-1259,1CCO5/202,CONTRERAS - JUAREZ ROBERTO
Calculo Diferencial e Integral,ITIS 004,OO2,26226,L,1200-1259,1CCO5/202,CONTRERAS - JUAREZ ROBERTO
Computo Distribuido,ITIS 256,OO1,26264,L,1500-1559,1CCO4/102,CONDE - RAMIREZ JUAN CARLOS
Computo Distribuido,ITIS 256,OO1,26264,M,1500-1659,1CCO3/104,CONDE - RAMIREZ JUAN CARLOS
Computo Distribuido,ITIS 256,OO1,26264,V,1500-1659,1CCO4/102,CONDE - RAMIREZ JUAN CARLOS
Control de Calidad de Software,ITIS 261,OO1,26265,L,1100-1159,1CCO4/101,GONZALEZ - CALLEROS JUAN
Control de Calidad de Software,ITIS 261,OO1,26265,MV,1100-1259,1CCO4/101,GONZALEZ - CALLEROS JUAN
DHPC,FGUS 002,102,26303,AJ,1500-1659,1EMA5/105,OIDOR - GARCIA JOSE
DHPC,FGUS 002,103,26304,AJ,0900-1059,1EMA5/105,VERA - CERVANTES EUGENIA
DHPC,FGUS 002,112,26305,A,0900-1059,1CCO4/201,BONFIL - BARRAGAN ERIKA
DHPC,FGUS 002,112,26305,J,0900-1059,1CCO4/202,BONFIL - BARRAGAN ERIKA
DHPC,FGUS 002,104,26306,A,1100-1259,1CCO4/301,DE LA ROSA - FLORES RAFAEL
DHPC,FGUS 002,104,26306,J,1100-1259,1CCO4/101,DE LA ROSA - FLORES RAFAEL
DHPC,FGUS 002,111,26308,MV,1100-1259,1EMA5/104,VAZQUEZ - RAMIREZ JESUS
DHPC,FGUS 002,113,26310,MV,1100-1259,1EMA5/205,ROMAN - FLORES ALBERTO
DHPC,FGUS 002,105,26311,M,1300-1459,1CCO4/305,VAZQUEZ - RAMIREZ JESUS
DHPC,FGUS 002,105,26311,V,1300-1459,1CCO4/301,VAZQUEZ - RAMIREZ JESUS
DHPC,FGUS 002,107,26313,M,1700-1859,1CCO4/204,DAWE - GONZALEZ ARTURO
DHPC,FGUS 002,107,26313,V,1700-1859,1CCO4/102,DAWE - GONZALEZ ARTURO
DHPC,FGUS 002,106,26314,A,1500-1659,1CCO4/305,ROSALES - LOPEZ KARINA
DHPC,FGUS 002,106,26314,J,1500-1659,1CCO4/303,ROSALES - LOPEZ KARINA
DHPC,FGUS 002,109,26315,A,1500-1659,1CCO4/103,HURTADO - MADRID JOSE
